catchment	stream	Cacoides	Progomphus	Epigomphus	Dythemis	Macrothemis	Heteragrion	Hetaerina	Argia	Heliocharis	Campylocia	Farrodes	Ulmeritoides	Thraulodes	Askola	Massartella	Hylister	Hagenulopsis	Cloeodes	Aturbina	Camelobaetidius	Baetodes	Americabaetis	Zelusia	Callibaetis	Traverhyphes	Tricorythodes	Tricorythopsis	Simothraulopsis	Leptohyphes	Caenis	Gripopteryx	Anacroneuria	Enderleina	Kempnyia	Macrogynoplax	Guaranyperla	Laccodytes	Psephenus	Phanocerus	Austrolimnius	Promoresia	Xenelmis	Hexacylloepus	Heterelmis	Macrelmis	Genus_A_Disersus	Hexanchorus	Microcylloepus	Stegoelmis	Huleechius	Neoelmis	Cylloepus	Gyrelmis	Ptilodactylidae_sp	Helicopsyche	Austrotinodes	Atopsyche	Phylloicus	Xiphocentron	Contulma	Marilia	Mortoniella	Protoptila	Chimarra	Wormaldia	Neotrichia	Hydroptila	Oxyethira	Leucotrichia	Metrichia	Alisotrichia	Leptonema	Smicridea	Macrostemum	Macronema	Blepharopus	Triplectides	Nectopsyche	Oecetis	Cernotina	Cyrnellus	Polyplectropus	Corydalus
15	15.5	0	0	0	1	0	2	1	1	0	1	1	0	0	0	1	2	0	13	0	0	33	0	0	0	8	0	15	0	0	0	0	7	0	0	6	0	0	0	1	1	0	41	7	53	2	0	0	0	0	0	15	2	0	0	0	4	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	10	30	0	0	0	0	1	0	0	0	0	0
16	16.1	0	0	0	0	0	0	1	0	0	0	9	0	0	0	3	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0
16	16.2	0	1	0	2	0	0	0	3	0	0	80	0	0	0	0	0	0	32	0	0	5	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	5	10	4	0	0	46	0	3	0	0	0	0	4	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	34	0	0	0	0	0	0	0	0	0	0
16	16.3	0	0	0	0	0	0	0	1	0	0	63	0	0	0	1	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	1	79	0	0	0	0	0	0	0	0	0	0	0	115	1	0	0	0	0	0	3	0	0	0	0	0	1	4	0	0	0	0	0	11	0	0	0	0	0	0	0	13	57	0	0	0	0	0	0	0	1	0	0
16	16.4	0	1	0	6	0	0	0	0	0	0	0	0	64	0	4	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	65	36	0	0	0	0	0	0	17	3	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	25	0	0	1	0	1	0	0	0	0	0
16	16.5	0	2	0	3	0	5	1	0	0	0	43	0	2	0	12	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	3	0	52	0	0	0	0	0	0	5	0	0	0	0	9	0	2	1	0	0	2	0	0	0	2	0	0	0	0	0	7	2	0	0	0	0	1	0	0	0	0	0
17	17.1	0	0	0	0	0	0	0	3	0	0	62	0	53	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	23	13	0	0	0	0	0	11	0	0	0	0	55	115	0	0	0	0	0	0	11	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0
17	17.2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	14	3	1	0	0	0	0	0	2	0	0	0	0	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
17	17.3	0	2	0	0	0	0	0	3	0	0	32	0	0	0	12	5	0	13	0	0	0	0	0	17	2	0	4	0	0	0	21	3	0	0	0	0	0	22	0	0	0	3	7	30	11	0	0	0	0	0	4	0	0	0	0	9	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
17	17.4	0	0	0	2	0	3	1	0	0	1	0	1	0	0	7	0	0	31	0	0	0	0	0	0	32	0	0	0	0	0	13	0	0	0	0	0	0	3	0	0	0	1	42	0	1	0	0	0	0	0	2	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	7	1	0	0	0	0	7	0	0	53	0	0	0	1	0	0	0
17	17.5	0	6	0	3	0	1	0	0	0	12	0	0	0	0	4	0	0	13	0	0	0	0	0	0	7	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	3	14	2	0	0	0	0	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0
18	18.1	0	0	0	1	0	0	1	9	0	0	30	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	2	25	0	0	0	0	2	0	13	0	0	2	4	23	0	0	0	3	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	14	0	0	1	0	1	0	0	0	0	0
18	18.2	0	0	0	3	0	1	0	1	0	0	13	0	0	0	14	5	0	12	0	0	21	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	12	1	0	0	16	13	60	1	3	2	23	0	0	5	0	0	0	2	0	2	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	23	0	0	1	0	4	0	0	0	0	0
18	18.3	0	0	0	0	0	0	0	8	0	5	28	0	0	0	0	0	0	12	0	0	10	0	0	0	4	0	0	0	0	0	7	24	0	0	0	0	0	0	0	0	0	1	49	12	0	0	0	2	0	0	11	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	36	1	0	0	0	0	0	0	0	0	1	0
18	18.4	0	0	0	0	0	1	0	0	0	0	26	0	0	0	0	0	0	18	0	0	13	0	0	0	7	0	0	0	0	0	48	17	0	0	0	0	0	0	4	0	0	17	28	54	0	5	0	0	0	0	13	0	0	0	0	3	3	3	0	0	1	4	0	1	0	1	1	0	0	0	0	18	2	0	0	2	0	0	0	0	2	0	0
18	18.5	1	0	0	2	0	1	0	1	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	40	0	0	0	1	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	6	0	0	0
19	19.1	6	0	0	1	0	0	0	0	0	8	13	0	1	0	0	1	0	15	0	0	0	0	0	0	2	0	0	0	0	0	5	10	0	0	0	0	3	3	0	0	0	25	11	3	1	0	0	0	0	0	3	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0
19	19.2	5	0	0	2	0	3	0	0	0	7	3	0	5	0	0	0	0	5	0	0	8	0	0	0	11	0	0	0	0	0	14	9	0	1	0	0	0	5	5	0	0	4	2	7	2	0	0	1	0	2	0	0	0	1	6	0	3	4	0	0	0	0	0	13	0	0	0	0	0	0	0	10	28	0	0	0	0	5	0	0	1	0	0
19	19.3	10	0	0	1	0	9	1	0	0	6	0	0	20	0	0	0	0	22	0	0	10	22	0	0	11	0	0	0	0	0	4	16	0	1	0	0	0	6	0	0	0	0	13	24	0	2	0	2	0	0	0	0	0	0	2	2	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
19	19.4	0	0	0	2	0	3	2	0	0	14	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	21	0	0	0	5	2	0	0	1	21	8	5	1	0	7	0	0	0	0	0	0	1	2	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	4	11	0	0	9	1	3	0	1	0	0	0
19	19.5	3	0	0	0	0	0	0	0	0	1	0	0	27	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	22	0	6	0	0	0	1	1	0	0	0	29	31	7	0	0	26	0	0	0	0	0	0	13	5	5	2	0	0	10	0	0	7	0	1	0	0	0	0	0	0	32	0	0	44	0	4	0	0	2	0	0
20	20.1	0	0	8	0	1	0	11	3	0	0	30	0	0	0	1	19	0	0	0	0	6	2	0	0	16	0	0	1	19	0	6	31	2	0	0	0	0	0	19	10	0	3	0	19	8	0	0	1	0	1	13	1	1	0	11	7	3	9	0	0	2	0	0	7	0	0	0	0	0	0	0	47	3	14	1	0	2	1	3	0	0	1	0
20	20.2	0	0	0	0	0	0	1	3	0	0	84	0	0	0	0	7	0	0	0	0	37	1	0	0	80	0	0	0	21	0	0	16	0	0	0	0	0	0	0	6	0	0	0	47	5	0	0	7	0	1	6	0	1	0	0	5	3	0	0	0	0	0	0	81	0	0	0	0	0	0	0	70	4	0	0	0	0	0	0	0	0	0	1
20	20.3	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	13	1	0	0	27	0	10	0	0	0	1	22	0	0	0	0	0	0	1	2	0	0	0	14	5	0	0	0	0	0	2	0	4	0	0	0	4	0	0	0	0	0	0	52	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
20	20.4	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	12	0	0	0	2	50	2	0	0	23	0	11	6	5	0	0	14	0	0	0	0	0	0	1	9	0	1	0	46	8	0	0	1	0	5	21	2	0	0	0	1	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	18	28	0	0	0	0	0	1	0	0	0	1
20	20.5	0	0	0	0	0	0	5	3	0	0	28	0	0	0	0	46	0	0	0	40	61	8	0	0	5	0	3	15	8	0	3	11	0	1	0	0	0	0	1	2	0	0	2	12	15	0	0	0	1	1	18	0	0	0	0	3	2	0	0	0	0	0	0	23	0	0	0	0	0	0	0	3	11	2	0	0	1	0	2	0	0	0	2
